true__action_noise,true__xprob_volatility,estimated__action_noise,estimated__xprob_volatility,prior_idx,input_sequence_idx,simulation_idx,Column1,Column2,,,
1,-2,1.001586112,-2.004000041,1,1,8,0.004000041,0.001586112,,seq1,sequence_080206probs
1.3,-6,1.314042425,-6.004568755,1,1,9,0.004568755,0.014042425,,seq2,sequence_090206probs
0.4,-3,0.460089136,-3.013205304,1,1,4,0.013205304,0.060089136,,,
1.6,-2,1.486952506,-2.015224058,1,1,9,0.015224058,0.113047494,,,
0.1,-2,0.165074511,-1.984571043,1,1,9,0.015428957,0.065074511,,,
0.4,-3,0.450458019,-3.015711587,1,1,6,0.015711587,0.050458019,,,
1.3,-6,1.384252154,-5.980953685,1,1,5,0.019046315,0.084252154,,,
0.7,-5,0.657418136,-5.020225304,1,1,8,0.020225304,0.042581864,,,
1.9,-3,1.760130266,-2.979662076,1,1,1,0.020337924,0.139869734,,,
1.3,-3,1.410092831,-2.978821183,1,1,7,0.021178817,0.110092831,,,
2.5,-6,1.516876227,-6.024033935,1,1,10,0.024033935,0.983123773,,,
0.1,-3,0.023108257,-3.026698216,1,1,5,0.026698216,0.076891743,,,
0.1,-2,0.128098728,-1.971478208,1,1,4,0.028521792,0.028098728,,,
0.1,-3,0.165360585,-3.029318885,1,1,9,0.029318885,0.065360585,,,
0.7,-2,0.728156298,-2.030341042,1,1,7,0.030341042,0.028156298,,,
0.1,-2,0.083000955,-2.032297485,1,1,8,0.032297485,0.016999045,,,
0.1,-2,0.083731395,-2.032385218,1,1,10,0.032385218,0.016268605,,,
0.1,-2,0.123052929,-2.032806628,1,1,1,0.032806628,0.023052929,,,
0.4,-2,0.433398827,-1.964537391,1,1,3,0.035462609,0.033398827,,,
0.4,-3,0.531898401,-2.963062092,1,1,8,0.036937908,0.131898401,,,
0.4,-2,0.401924819,-2.040829841,1,1,4,0.040829841,0.001924819,,,
0.4,-7,0.460490517,-6.956339446,1,1,5,0.043660554,0.060490517,,,
1.3,-4,0.901543249,-3.955584168,1,1,10,0.044415832,0.398456751,,,
0.4,-2,0.392276192,-1.95283833,1,1,7,0.04716167,0.007723808,,,
2.5,-5,2.374453017,-4.951338571,1,1,9,0.048661429,0.125546983,,,
0.7,-2,0.468790805,-1.950743901,1,1,9,0.049256099,0.231209195,,,
1,-6,0.848019962,-6.049314244,1,1,1,0.049314244,0.151980038,,,
1.9,-4,1.514841815,-4.050828773,1,1,8,0.050828773,0.385158185,,,
0.1,-2,0.136413842,-1.948493097,1,1,6,0.051506903,0.036413842,,,
0.1,-4,0.085009976,-4.05486979,1,1,8,0.05486979,0.014990024,,,
1.9,-6,1.47207069,-6.055713758,1,1,7,0.055713758,0.42792931,,,
0.1,-7,0.175645692,-6.93658513,1,1,1,0.06341487,0.075645692,,,
0.1,-3,0.096556964,-3.06414554,1,1,2,0.06414554,0.003443036,,,
0.7,-2,0.70029454,-2.065446622,1,1,5,0.065446622,0.00029454,,,
0.4,-2,0.359193219,-2.06707794,1,1,5,0.06707794,0.040806781,,,
2.2,-5,1.774347988,-4.931511057,1,1,10,0.068488943,0.425652012,,,
0.7,-2,0.973187479,-2.071279561,1,1,10,0.071279561,0.273187479,,,
1.3,-6,1.553487128,-6.07883264,1,1,7,0.07883264,0.253487128,,,
1.3,-6,1.362615457,-5.919796486,1,1,3,0.080203514,0.062615457,,,
1.3,-2,1.26278947,-2.081288857,1,1,2,0.081288857,0.03721053,,,
0.4,-7,0.47783178,-6.917986978,1,1,10,0.082013022,0.07783178,,,
2.2,-6,1.990372019,-6.083770836,1,1,5,0.083770836,0.209627981,,,
0.1,-4,0.136111213,-4.083824467,1,1,6,0.083824467,0.036111213,,,
0.7,-6,0.747945215,-6.084128784,1,1,9,0.084128784,0.047945215,,,
1,-6,0.860288817,-6.084218812,1,1,6,0.084218812,0.139711183,,,
0.4,-3,0.557643987,-2.911243007,1,1,2,0.088756993,0.157643987,,,
0.1,-2,0.196341518,-1.910482361,1,1,2,0.089517639,0.096341518,,,
1,-4,0.865968822,-4.089906344,1,1,9,0.089906344,0.134031178,,,
1.6,-6,2.219630815,-5.908415943,1,1,7,0.091584057,0.619630815,,,
1.9,-6,1.500145065,-5.908396781,1,1,6,0.091603219,0.399854935,,,
0.4,-7,0.321968153,-6.902548968,1,1,1,0.097451032,0.078031847,,,
0.4,-2,0.471424515,-2.098647685,1,1,8,0.098647685,0.071424515,,,
0.7,-2,0.71338668,-1.893347446,1,1,2,0.106652554,0.01338668,,,
2.2,-6,2.080827246,-5.891535424,1,1,1,0.108464576,0.119172754,,,
0.7,-7,1.043447728,-6.887814871,1,1,5,0.112185129,0.343447728,,,
1.9,-2,1.352461087,-2.114037488,1,1,6,0.114037488,0.547538913,,,
0.7,-3,0.530917834,-3.114192875,1,1,3,0.114192875,0.169082166,,,
2.2,-4,2.250960121,-4.116177986,1,1,5,0.116177986,0.050960121,,,
1.6,-6,1.634630607,-6.117751125,1,1,1,0.117751125,0.034630607,,,
0.7,-3,0.913689533,-3.117779404,1,1,7,0.117779404,0.213689533,,,
1.6,-7,1.072333594,-6.881027431,1,1,9,0.118972569,0.527666406,,,
0.1,-6,0.078617572,-6.121549537,1,1,8,0.121549537,0.021382428,,,
0.7,-5,0.680153462,-5.121662217,1,1,5,0.121662217,0.019846538,,,
1,-2,0.99515679,-2.121742652,1,1,10,0.121742652,0.00484321,,,
0.4,-7,0.42522996,-7.121979423,1,1,4,0.121979423,0.02522996,,,
1.3,-3,1.619285075,-3.122129674,1,1,1,0.122129674,0.319285075,,,
1.9,-6,2.289830345,-5.872468619,1,1,8,0.127531381,0.389830345,,,
2.5,-6,2.184115713,-5.870955916,1,1,6,0.129044084,0.315884287,,,
1.9,-6,1.988665221,-6.131221049,1,1,3,0.131221049,0.088665221,,,
1,-3,0.815717102,-2.867077798,1,1,8,0.132922202,0.184282898,,,
0.1,-3,0.097705187,-3.138886794,1,1,10,0.138886794,0.002294813,,,
0.7,-2,0.775109836,-1.860660842,1,1,4,0.139339158,0.075109836,,,
0.4,-2,0.437170856,-2.141110022,1,1,9,0.141110022,0.037170856,,,
0.1,-3,0.052866261,-3.141619822,1,1,8,0.141619822,0.047133739,,,
1,-5,0.954451112,-4.856271319,1,1,4,0.143728681,0.045548888,,,
0.4,-2,0.326253373,-1.85547438,1,1,1,0.14452562,0.073746627,,,
0.7,-2,0.743507049,-2.148359708,1,1,1,0.148359708,0.043507049,,,
1,-3,0.777251865,-2.847091668,1,1,9,0.152908332,0.222748135,,,
0.1,-3,0.083124462,-3.155466604,1,1,4,0.155466604,0.016875538,,,
0.4,-4,0.492166795,-4.159741464,1,1,9,0.159741464,0.092166795,,,
0.1,-4,0.089324165,-4.16081271,1,1,1,0.16081271,0.010675835,,,
0.7,-6,0.870494274,-5.838265262,1,1,5,0.161734738,0.170494274,,,
0.1,-6,0.078443797,-6.167440484,1,1,10,0.167440484,0.021556203,,,
1.3,-3,1.400359041,-2.829881923,1,1,8,0.170118077,0.100359041,,,
2.2,-6,2.426334091,-5.827462714,1,1,10,0.172537286,0.226334091,,,
1,-2,1.315675633,-2.175698638,1,1,7,0.175698638,0.315675633,,,
0.4,-2,0.398909579,-2.176794996,1,1,10,0.176794996,0.001090421,,,
0.7,-4,0.675968464,-4.178957276,1,1,8,0.178957276,0.024031536,,,
0.1,-3,0.125524595,-3.179095621,1,1,7,0.179095621,0.025524595,,,
0.4,-7,0.523783016,-6.820492625,1,1,9,0.179507375,0.123783016,,,
0.4,-5,0.439812612,-5.1841501,1,1,4,0.1841501,0.039812612,,,
2.5,-5,1.661626721,-4.815610663,1,1,3,0.184389337,0.838373279,,,
0.4,-6,0.412010086,-6.186241064,1,1,2,0.186241064,0.012010086,,,
1.9,-6,1.891031008,-6.192605539,1,1,2,0.192605539,0.008968992,,,
2.5,-6,1.843609843,-5.806749371,1,1,7,0.193250629,0.656390157,,,
1.9,-2,1.542474564,-2.193681157,1,1,4,0.193681157,0.357525436,,,
1,-5,1.113728314,-5.194261455,1,1,9,0.194261455,0.113728314,,,
0.7,-6,0.715691705,-6.194791608,1,1,2,0.194791608,0.015691705,,,
0.4,-4,0.344172864,-4.194972987,1,1,3,0.194972987,0.055827136,,,
1.9,-3,1.302990708,-3.19755936,1,1,6,0.19755936,0.597009292,,,
0.4,-4,0.373095879,-3.799995685,1,1,1,0.200004315,0.026904121,,,
0.1,-6,0.074122037,-6.202525569,1,1,7,0.202525569,0.025877963,,,
1.9,-2,1.161464857,-2.206284424,1,1,1,0.206284424,0.738535143,,,
0.7,-3,0.739993126,-2.789572599,1,1,4,0.210427401,0.039993126,,,
0.7,-3,0.955243891,-2.789505329,1,1,5,0.210494671,0.255243891,,,
0.1,-2,0.035714027,-2.214352621,1,1,3,0.214352621,0.064285973,,,
0.1,-3,0.065132255,-3.215761205,1,1,1,0.215761205,0.034867745,,,
0.4,-2,0.391307735,-1.783254192,1,1,6,0.216745808,0.008692265,,,
0.1,-2,0.039180805,-2.217615224,1,1,5,0.217615224,0.060819195,,,
1,-5,0.892081695,-5.219312975,1,1,1,0.219312975,0.107918305,,,
0.4,-6,0.395286209,-6.219414837,1,1,7,0.219414837,0.004713791,,,
1.9,-4,1.642207269,-4.220945031,1,1,6,0.220945031,0.257792731,,,
1,-3,0.873756131,-3.221958955,1,1,1,0.221958955,0.126243869,,,
0.7,-3,0.791512689,-3.222419003,1,1,1,0.222419003,0.091512689,,,
2.5,-6,2.045520616,-5.773644117,1,1,8,0.226355883,0.454479384,,,
0.1,-4,0.052017154,-3.773240329,1,1,5,0.226759671,0.047982846,,,
1.6,-2,1.495793762,-2.227844728,1,1,3,0.227844728,0.104206238,,,
2.2,-2,1.776664485,-2.229312614,1,1,6,0.229312614,0.423335515,,,
0.1,-4,0.052645308,-3.769787929,1,1,3,0.230212071,0.047354692,,,
0.1,-3,0.07456273,-3.235639724,1,1,3,0.235639724,0.02543727,,,
1.6,-6,1.222260006,-6.240978258,1,1,6,0.240978258,0.377739994,,,
0.7,-7,0.980399203,-6.758789788,1,1,9,0.241210212,0.280399203,,,
1,-6,0.737971956,-5.758549979,1,1,8,0.241450021,0.262028044,,,
0.1,-6,0.075016084,-6.242998305,1,1,3,0.242998305,0.024983916,,,
1.6,-2,1.517155077,-2.245645582,1,1,1,0.245645582,0.082844923,,,
2.5,-6,1.650340284,-5.753406876,1,1,3,0.246593124,0.849659716,,,
1.9,-5,1.814861659,-4.752070747,1,1,1,0.247929253,0.085138341,,,
0.7,-6,0.701497593,-5.751203029,1,1,7,0.248796971,0.001497593,,,
0.4,-2,0.369608444,-2.256427522,1,1,2,0.256427522,0.030391556,,,
0.1,-3,0.141417313,-3.256579191,1,1,6,0.256579191,0.041417313,,,
1.3,-5,1.43002813,-4.742649374,1,1,10,0.257350626,0.13002813,,,
2.5,-7,1.926857516,-6.740583141,1,1,4,0.259416859,0.573142484,,,
1.6,-2,1.634725636,-1.739233629,1,1,2,0.260766371,0.034725636,,,
1.9,-6,2.182807618,-5.73879088,1,1,4,0.26120912,0.282807618,,,
0.1,-7,0.165568441,-6.735592096,1,1,10,0.264407904,0.065568441,,,
0.1,-6,0.077540723,-6.271089144,1,1,2,0.271089144,0.022459277,,,
0.1,-2,0.07432338,-2.28675698,1,1,7,0.28675698,0.02567662,,,
1,-5,0.945491463,-5.288798651,1,1,5,0.288798651,0.054508537,,,
1,-3,1.161700211,-3.289554952,1,1,4,0.289554952,0.161700211,,,
1,-2,0.590848614,-2.293535254,1,1,1,0.293535254,0.409151386,,,
1,-2,0.949806367,-2.29496953,1,1,6,0.29496953,0.050193633,,,
0.7,-7,0.549611589,-6.700616418,1,1,2,0.299383582,0.150388411,,,
1.6,-6,1.294878496,-6.309649374,1,1,9,0.309649374,0.305121504,,,
1.9,-7,1.192396741,-6.688951334,1,1,8,0.311048666,0.707603259,,,
1.9,-5,1.555011285,-4.685876792,1,1,8,0.314123208,0.344988715,,,
0.7,-2,0.859290762,-1.684489899,1,1,6,0.315510101,0.159290762,,,
0.4,-3,0.366335166,-2.681448707,1,1,5,0.318551293,0.033664834,,,
0.4,-3,0.427204862,-3.319878261,1,1,10,0.319878261,0.027204862,,,
1.3,-6,1.188308279,-5.669980424,1,1,8,0.330019576,0.111691721,,,
1.3,-3,1.183125379,-3.333578613,1,1,10,0.333578613,0.116874621,,,
0.4,-7,0.337694138,-6.6664079,1,1,2,0.3335921,0.062305862,,,
1.3,-6,1.700454506,-6.34650391,1,1,4,0.34650391,0.400454506,,,
1,-2,1.108926172,-2.351751935,1,1,4,0.351751935,0.108926172,,,
0.1,-5,0.129444223,-4.637484182,1,1,4,0.362515818,0.029444223,,,
1.9,-5,1.952058953,-5.363380048,1,1,2,0.363380048,0.052058953,,,
1.3,-6,1.038925635,-6.364913148,1,1,6,0.364913148,0.261074365,,,
0.7,-4,0.806682691,-3.634788462,1,1,7,0.365211538,0.106682691,,,
1.6,-4,1.12836644,-4.372127947,1,1,6,0.372127947,0.47163356,,,
2.2,-6,1.73318839,-6.37226464,1,1,3,0.37226464,0.46681161,,,
0.1,-4,0.195539531,-4.375175567,1,1,9,0.375175567,0.095539531,,,
0.4,-3,0.465701751,-3.378443514,1,1,3,0.378443514,0.065701751,,,
1.6,-3,1.957768859,-3.383272407,1,1,8,0.383272407,0.357768859,,,
2.2,-2,1.471985609,-2.385622368,1,1,7,0.385622368,0.728014391,,,
1.9,-6,1.67889901,-6.389746809,1,1,9,0.389746809,0.22110099,,,
1.9,-2,1.547785731,-1.609212068,1,1,2,0.390787932,0.352214269,,,
1.9,-2,1.25763951,-2.398510008,1,1,10,0.398510008,0.64236049,,,
0.4,-5,0.348813517,-4.600690197,1,1,5,0.399309803,0.051186483,,,
0.7,-6,0.786269049,-6.401912242,1,1,1,0.401912242,0.086269049,,,
0.4,-5,0.370363076,-5.405451329,1,1,8,0.405451329,0.029636924,,,
1.3,-4,1.500581596,-4.407012201,1,1,8,0.407012201,0.200581596,,,
2.5,-5,2.039488742,-4.589448646,1,1,4,0.410551354,0.460511258,,,
0.1,-5,0.035748833,-5.414770088,1,1,6,0.414770088,0.064251167,,,
1,-4,0.866036458,-3.579745106,1,1,2,0.420254894,0.133963542,,,
1.9,-7,2.034841683,-6.578374673,1,1,4,0.421625327,0.134841683,,,
1.3,-5,1.243973432,-5.432044454,1,1,1,0.432044454,0.056026568,,,
0.4,-7,0.554660354,-6.562351255,1,1,7,0.437648745,0.154660354,,,
0.1,-7,0.088894648,-6.56141037,1,1,5,0.43858963,0.011105352,,,
1.6,-2,1.185167588,-2.438803167,1,1,6,0.438803167,0.414832412,,,
1.3,-5,1.014902554,-5.440004261,1,1,7,0.440004261,0.285097446,,,
0.1,-5,0.055891371,-5.441065286,1,1,7,0.441065286,0.044108629,,,
2.2,-2,2.065351946,-2.444032177,1,1,4,0.444032177,0.134648054,,,
1.3,-4,1.134023471,-4.447154524,1,1,3,0.447154524,0.165976529,,,
2.5,-7,2.170547616,-6.552807648,1,1,8,0.447192352,0.329452384,,,
0.7,-3,0.62574184,-3.447364634,1,1,6,0.447364634,0.07425816,,,
0.7,-4,0.734689435,-4.451661365,1,1,2,0.451661365,0.034689435,,,
0.4,-5,0.316331358,-4.548120843,1,1,7,0.451879157,0.083668642,,,
2.2,-7,2.09317973,-6.547834852,1,1,9,0.452165148,0.10682027,,,
1,-3,0.797081452,-2.547650695,1,1,6,0.452349305,0.202918548,,,
2.2,-4,1.847707531,-3.54293632,1,1,3,0.45706368,0.352292469,,,
0.7,-7,0.721477746,-6.532133014,1,1,8,0.467866986,0.021477746,,,
0.1,-6,0.051297678,-5.531190912,1,1,9,0.468809088,0.048702322,,,
2.2,-6,1.6548517,-6.471897112,1,1,7,0.471897112,0.5451483,,,
1.6,-3,1.598238297,-3.473601635,1,1,10,0.473601635,0.001761703,,,
0.7,-6,0.647463957,-6.474720926,1,1,10,0.474720926,0.052536043,,,
1,-5,1.06883255,-5.475293625,1,1,3,0.475293625,0.06883255,,,
0.1,-5,0.061048901,-5.477579096,1,1,10,0.477579096,0.038951099,,,
1.3,-2,1.232914037,-2.482421621,1,1,7,0.482421621,0.067085963,,,
2.5,-6,1.939121883,-5.516168069,1,1,2,0.483831931,0.560878117,,,
2.2,-5,1.885634178,-4.515827068,1,1,7,0.484172932,0.314365822,,,
0.1,-5,0.054314937,-5.486140717,1,1,1,0.486140717,0.045685063,,,
2.5,-6,1.650749879,-5.51195512,1,1,1,0.48804488,0.849250121,,,
2.2,-5,1.954560236,-4.511208829,1,1,3,0.488791171,0.245439764,,,
1.6,-4,1.222768593,-4.490629567,1,1,5,0.490629567,0.377231407,,,
1,-4,0.865210156,-3.509299306,1,1,4,0.490700694,0.134789844,,,
1,-4,1.095863337,-4.493235535,1,1,5,0.493235535,0.095863337,,,
1,-3,0.935337327,-3.495510863,1,1,3,0.495510863,0.064662673,,,
1.3,-5,1.358375723,-5.497081608,1,1,3,0.497081608,0.058375723,,,
2.2,-2,1.111208591,-2.498505515,1,1,9,0.498505515,1.088791409,,,
1.9,-5,1.325451417,-5.503516681,1,1,10,0.503516681,0.574548583,,,
2.2,-7,1.7511297,-6.48906085,1,1,7,0.51093915,0.4488703,,,
1,-4,0.794657683,-4.512842239,1,1,10,0.512842239,0.205342317,,,
2.2,-6,1.8877026,-6.516739238,1,1,9,0.516739238,0.3122974,,,
0.4,-6,0.315224543,-6.521113009,1,1,6,0.521113009,0.084775457,,,
1.9,-5,1.531212613,-5.522080889,1,1,3,0.522080889,0.368787387,,,
1.3,-3,1.654770093,-3.525698387,1,1,5,0.525698387,0.354770093,,,
0.4,-6,0.407097637,-5.474075391,1,1,1,0.525924609,0.007097637,,,
0.7,-7,0.879317168,-6.471603808,1,1,10,0.528396192,0.179317168,,,
1,-2,0.771488732,-2.529565457,1,1,9,0.529565457,0.228511268,,,
